date,pincode,temperature,humidity,rainfall
2022-01-01,400001,25.5,43.2,0.0
2022-01-02,400001,22.1,45.0,0.0
2022-01-03,400001,22.3,50.5,0.0
2022-01-04,400001,23.5,59.6,0.0
2022-01-05,400001,21.6,43.3,0.0
2022-01-06,400001,19.8,48.6,0.0
2022-01-07,400001,21.8,56.1,0.0
2022-01-08,400001,26.9,55.0,0.0
2022-01-09,400001,27.8,41.3,0.0
2022-01-10,400001,23.1,41.8,0.0
2022-01-11,400001,24.8,56.4,0.0
2022-01-12,400001,19.5,50.1,0.0
2022-01-13,400001,20.9,43.6,0.0
2022-01-14,400001,24.2,48.2,0.0
2022-01-15,400001,24.4,49.9,0.0
2022-01-16,400001,25.5,59.7,0.0
2022-01-17,400001,19.7,43.6,0.0
2022-01-18,400001,21.8,53.8,0.0
2022-01-19,400001,18.7,58.2,0.0
2022-01-20,400001,24.8,56.9,0.0
2022-01-21,400001,19.8,57.7,0.0
2022-01-22,400001,20.5,46.6,0.0
2022-01-23,400001,23.5,47.3,0.0
2022-01-24,400001,22.0,58.5,0.0
2022-01-25,400001,18.4,59.7,0.0
2022-01-26,400001,20.2,47.2,0.0
2022-01-27,400001,24.5,49.4,0.0
2022-01-28,400001,21.7,54.0,0.0
2022-01-29,400001,24.1,42.8,0.0
2022-01-30,400001,25.9,51.9,0.0
2022-01-31,400001,26.3,59.7,0.0
2022-02-01,400001,27.9,52.5,0.0
2022-02-02,400001,27.4,51.8,0.0
2022-02-03,400001,22.9,50.2,0.0
2022-02-04,400001,20.5,57.2,0.0
2022-02-05,400001,25.8,52.8,0.0
2022-02-06,400001,21.9,55.2,0.0
2022-02-07,400001,19.9,42.5,0.0
2022-02-08,400001,23.0,47.8,0.0
2022-02-09,400001,21.2,47.0,0.0
2022-02-10,400001,26.7,52.0,0.0
2022-02-11,400001,19.7,42.0,0.0
2022-02-12,400001,19.6,43.9,0.0
2022-02-13,400001,23.7,44.7,0.0
2022-02-14,400001,18.1,58.1,0.0
2022-02-15,400001,27.9,46.3,0.0
