name,composition,manufacturer,pack_size,mrp,is_symptomatic
Medicine_6699,Unknown Composition,Pharma_35,24,309.21,False
Ofloxacin Tablet,Ofloxacin + Excipients,Pharma_3,7,433.08,False
Sumo Tablet,Sumo + Excipients,Pharma_47,11,247.08,False
Ibuprofen 650mg,Ibuprofen + Excipients,Pharma_2,15,208.11,False
Medicine_6294,Unknown Composition,Pharma_26,6,230.45,False
Ambroxol 500mg,Ambroxol + Excipients,Pharma_40,23,22.74,False
Medicine_4883,Unknown Composition,Pharma_32,4,64.15,False
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_80,29,49.48,True
Medicine_4972,Unknown Composition,Pharma_82,14,19.35,False
Medicine_2515,Unknown Composition,Pharma_3,12,317.58,False
Medicine_3771,Unknown Composition,Pharma_90,11,426.9,False
Sinarest 500mg,Sinarest + Excipients,Pharma_70,15,138.3,False
Medicine_2641,Unknown Composition,Pharma_82,7,185.43,False
Ambroxol 500mg,Ambroxol + Excipients,Pharma_89,25,71.54,False
Sinarest 650mg,Sinarest + Excipients,Pharma_15,24,73.22,False
Maxtra Tablet,Maxtra + Excipients,Pharma_98,25,90.85,False
Dextromethorphan Syrup,Dextromethorphan + Excipients,Pharma_32,28,319.54,False
Sumo Syrup,Sumo + Excipients,Pharma_35,14,177.37,False
Azithromycin 650mg,Azithromycin + Excipients,Pharma_30,22,296.26,True
Volini Syrup,Volini + Excipients,Pharma_13,7,306.5,False
Medicine_1426,Unknown Composition,Pharma_95,20,57.9,False
Medicine_8565,Unknown Composition,Pharma_21,22,361.72,False
Ibuprofen 650mg,Ibuprofen + Excipients,Pharma_79,12,223.44,False
Tramadol Tablet,Tramadol + Excipients,Pharma_35,28,348.63,False
Medicine_4162,Unknown Composition,Pharma_36,20,43.16,False
Cetirizine Syrup,Cetirizine + Excipients,Pharma_37,12,383.06,True
Medicine_2734,Unknown Composition,Pharma_60,19,410.46,False
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_76,5,454.13,False
Crocin Tablet,Crocin + Excipients,Pharma_52,17,377.69,False
Aceclofenac 500mg,Aceclofenac + Excipients,Pharma_21,21,244.16,False
Medicine_2949,Unknown Composition,Pharma_60,20,299.71,False
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_50,9,170.38,False
Tramadol 500mg,Tramadol + Excipients,Pharma_3,10,96.29,False
Diclofenac 650mg,Diclofenac + Excipients,Pharma_4,14,201.72,False
Tramadol 650mg,Tramadol + Excipients,Pharma_19,20,293.16,False
Cetirizine 650mg,Cetirizine + Excipients,Pharma_84,10,344.47,True
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_60,16,158.83,True
Levocetirizine 500mg,Levocetirizine + Excipients,Pharma_29,5,34.5,True
Medicine_1213,Unknown Composition,Pharma_22,10,446.53,False
Medicine_6708,Unknown Composition,Pharma_10,17,391.04,False
Otrivin Tablet,Otrivin + Excipients,Pharma_35,10,355.75,False
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_56,23,96.22,False
Paracetamol Syrup,Paracetamol + Excipients,Pharma_36,28,359.81,True
Diclofenac Tablet,Diclofenac + Excipients,Pharma_30,25,407.56,False
Medicine_8411,Unknown Composition,Pharma_92,19,477.38,False
Ofloxacin 650mg,Ofloxacin + Excipients,Pharma_62,4,231.52,False
Medicine_1562,Unknown Composition,Pharma_45,20,111.68,False
Medicine_7318,Unknown Composition,Pharma_59,23,495.17,False
Ambroxol Tablet,Ambroxol + Excipients,Pharma_81,19,475.12,False
Sumo 500mg,Sumo + Excipients,Pharma_7,7,394.37,False
Dolo 650 650mg,Dolo 650 + Excipients,Pharma_94,16,142.97,True
Benadryl Tablet,Benadryl + Excipients,Pharma_53,23,477.31,False
Cetirizine Syrup,Cetirizine + Excipients,Pharma_54,8,195.58,True
Ofloxacin Tablet,Ofloxacin + Excipients,Pharma_54,2,286.54,False
Cefixime 650mg,Cefixime + Excipients,Pharma_47,25,371.31,False
Medicine_1092,Unknown Composition,Pharma_25,22,334.92,False
Crocin Syrup,Crocin + Excipients,Pharma_15,17,295.64,False
Medicine_4859,Unknown Composition,Pharma_26,13,422.22,False
Medicine_9109,Unknown Composition,Pharma_27,16,190.63,False
Medicine_6227,Unknown Composition,Pharma_41,29,345.48,False
Cetirizine Syrup,Cetirizine + Excipients,Pharma_67,29,247.91,True
Medicine_1221,Unknown Composition,Pharma_95,9,228.74,False
Benadryl 650mg,Benadryl + Excipients,Pharma_25,14,101.76,False
Tramadol Tablet,Tramadol + Excipients,Pharma_26,9,371.43,False
Tramadol Syrup,Tramadol + Excipients,Pharma_85,26,125.95,False
Augmentin Tablet,Augmentin + Excipients,Pharma_57,17,71.0,False
Ofloxacin Syrup,Ofloxacin + Excipients,Pharma_7,25,276.95,False
Medicine_8383,Unknown Composition,Pharma_31,26,131.29,False
Volini Tablet,Volini + Excipients,Pharma_82,14,125.3,False
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_16,10,316.93,False
Medicine_8781,Unknown Composition,Pharma_84,14,238.01,False
Benadryl 500mg,Benadryl + Excipients,Pharma_74,19,356.63,False
Medicine_1142,Unknown Composition,Pharma_25,10,431.27,False
Ambroxol Tablet,Ambroxol + Excipients,Pharma_50,8,256.49,False
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_52,28,99.7,False
Medicine_2560,Unknown Composition,Pharma_47,13,165.04,False
Levocetirizine 650mg,Levocetirizine + Excipients,Pharma_61,6,334.8,True
Diclofenac Syrup,Diclofenac + Excipients,Pharma_89,2,232.94,False
Medicine_6880,Unknown Composition,Pharma_8,1,41.1,False
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_6,5,427.87,False
Medicine_3112,Unknown Composition,Pharma_66,9,157.66,False
Medicine_9648,Unknown Composition,Pharma_22,15,474.89,False
Medicine_6044,Unknown Composition,Pharma_1,24,195.99,False
Tramadol 500mg,Tramadol + Excipients,Pharma_80,14,437.98,False
Medicine_4522,Unknown Composition,Pharma_77,20,318.36,False
Medicine_5252,Unknown Composition,Pharma_53,9,66.24,False
Volini Tablet,Volini + Excipients,Pharma_80,11,189.11,False
Combiflam Syrup,Combiflam + Excipients,Pharma_42,20,205.63,False
Medicine_7092,Unknown Composition,Pharma_13,28,267.0,False
Ascoril 650mg,Ascoril + Excipients,Pharma_99,29,295.3,False
Benadryl Syrup,Benadryl + Excipients,Pharma_75,7,304.07,False
Azithromycin Syrup,Azithromycin + Excipients,Pharma_26,9,488.06,True
Azithromycin Tablet,Azithromycin + Excipients,Pharma_3,20,51.96,True
Otrivin Syrup,Otrivin + Excipients,Pharma_2,27,160.12,False
Cetirizine Syrup,Cetirizine + Excipients,Pharma_83,18,356.93,True
Medicine_1190,Unknown Composition,Pharma_40,17,279.66,False
Sinarest 650mg,Sinarest + Excipients,Pharma_61,24,499.08,False
Cetirizine 650mg,Cetirizine + Excipients,Pharma_82,9,395.15,True
Cefixime 500mg,Cefixime + Excipients,Pharma_28,12,39.15,False
Diclofenac 650mg,Diclofenac + Excipients,Pharma_81,28,309.31,False
Aceclofenac Syrup,Aceclofenac + Excipients,Pharma_38,18,400.44,False
Tramadol 500mg,Tramadol + Excipients,Pharma_55,24,446.34,False
Medicine_8055,Unknown Composition,Pharma_55,4,494.81,False
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_44,14,66.83,True
Sinarest 650mg,Sinarest + Excipients,Pharma_62,5,183.62,False
Medicine_7244,Unknown Composition,Pharma_97,11,207.36,False
Tramadol 650mg,Tramadol + Excipients,Pharma_86,7,427.47,False
Ofloxacin 500mg,Ofloxacin + Excipients,Pharma_30,17,448.86,False
Medicine_8260,Unknown Composition,Pharma_30,21,293.53,False
Maxtra Syrup,Maxtra + Excipients,Pharma_81,29,173.22,False
Ascoril 500mg,Ascoril + Excipients,Pharma_55,11,355.79,False
Paracetamol 500mg,Paracetamol + Excipients,Pharma_14,15,257.07,True
Combiflam Syrup,Combiflam + Excipients,Pharma_52,8,423.18,False
Medicine_6748,Unknown Composition,Pharma_26,19,455.74,False
Levocetirizine 500mg,Levocetirizine + Excipients,Pharma_39,22,233.03,True
Volini 650mg,Volini + Excipients,Pharma_21,13,301.78,False
Medicine_4777,Unknown Composition,Pharma_78,15,273.48,False
Amoxicillin Tablet,Amoxicillin + Excipients,Pharma_75,27,49.23,False
Medicine_4251,Unknown Composition,Pharma_71,13,490.97,False
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_60,29,149.03,False
Medicine_9799,Unknown Composition,Pharma_51,20,101.0,False
Medicine_1711,Unknown Composition,Pharma_87,1,180.2,False
Medicine_5446,Unknown Composition,Pharma_82,10,453.85,False
Ofloxacin 500mg,Ofloxacin + Excipients,Pharma_88,22,136.45,False
Ambroxol Tablet,Ambroxol + Excipients,Pharma_26,19,56.47,False
Medicine_3977,Unknown Composition,Pharma_10,17,214.33,False
Benadryl 500mg,Benadryl + Excipients,Pharma_76,29,343.24,False
Tramadol 650mg,Tramadol + Excipients,Pharma_41,26,322.03,False
Cefixime Syrup,Cefixime + Excipients,Pharma_29,21,48.11,False
Cetirizine Syrup,Cetirizine + Excipients,Pharma_57,22,133.32,True
Levocetirizine 650mg,Levocetirizine + Excipients,Pharma_66,18,378.95,True
Volini 500mg,Volini + Excipients,Pharma_73,28,24.38,False
Medicine_8213,Unknown Composition,Pharma_1,28,392.56,False
Medicine_6716,Unknown Composition,Pharma_88,27,374.74,False
Ofloxacin Tablet,Ofloxacin + Excipients,Pharma_75,19,144.32,False
Augmentin Tablet,Augmentin + Excipients,Pharma_6,20,202.58,False
Levocetirizine Syrup,Levocetirizine + Excipients,Pharma_87,14,237.53,True
Medicine_9022,Unknown Composition,Pharma_39,20,213.23,False
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_49,13,276.02,False
Sinarest Tablet,Sinarest + Excipients,Pharma_15,27,44.87,False
Ibuprofen Syrup,Ibuprofen + Excipients,Pharma_90,24,464.93,False
