name,composition,manufacturer,pack_size,mrp
Medicine_6699,Unknown Composition,Pharma_35,24,309.21
Ofloxacin Tablet,Ofloxacin + Excipients,Pharma_3,7,433.08
Sumo Tablet,Sumo + Excipients,Pharma_47,11,247.08
Ibuprofen 650mg,Ibuprofen + Excipients,Pharma_2,15,208.11
Medicine_6294,Unknown Composition,Pharma_26,6,230.45
Ambroxol 500mg,Ambroxol + Excipients,Pharma_40,23,22.74
Medicine_4883,Unknown Composition,Pharma_32,4,64.15
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_80,29,49.48
Medicine_4972,Unknown Composition,Pharma_82,14,19.35
Medicine_2515,Unknown Composition,Pharma_3,12,317.58
Medicine_3771,Unknown Composition,Pharma_90,11,426.9
Sinarest 500mg,Sinarest + Excipients,Pharma_70,15,138.3
Medicine_2641,Unknown Composition,Pharma_82,7,185.43
Ambroxol 500mg,Ambroxol + Excipients,Pharma_89,25,71.54
Sinarest 650mg,Sinarest + Excipients,Pharma_15,24,73.22
Maxtra Tablet,Maxtra + Excipients,Pharma_98,25,90.85
Dextromethorphan Syrup,Dextromethorphan + Excipients,Pharma_32,28,319.54
Sumo Syrup,Sumo + Excipients,Pharma_35,14,177.37
Azithromycin 650mg,Azithromycin + Excipients,Pharma_30,22,296.26
Volini Syrup,Volini + Excipients,Pharma_13,7,306.5
Medicine_1426,Unknown Composition,Pharma_95,20,57.9
Medicine_8565,Unknown Composition,Pharma_21,22,361.72
Ibuprofen 650mg,Ibuprofen + Excipients,Pharma_79,12,223.44
Tramadol Tablet,Tramadol + Excipients,Pharma_35,28,348.63
Medicine_4162,Unknown Composition,Pharma_36,20,43.16
Cetirizine Syrup,Cetirizine + Excipients,Pharma_37,12,383.06
Medicine_2734,Unknown Composition,Pharma_60,19,410.46
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_76,5,454.13
Crocin Tablet,Crocin + Excipients,Pharma_52,17,377.69
Aceclofenac 500mg,Aceclofenac + Excipients,Pharma_21,21,244.16
Medicine_2949,Unknown Composition,Pharma_60,20,299.71
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_50,9,170.38
Tramadol 500mg,Tramadol + Excipients,Pharma_3,10,96.29
Diclofenac 650mg,Diclofenac + Excipients,Pharma_4,14,201.72
Tramadol 650mg,Tramadol + Excipients,Pharma_19,20,293.16
Cetirizine 650mg,Cetirizine + Excipients,Pharma_84,10,344.47
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_60,16,158.83
Levocetirizine 500mg,Levocetirizine + Excipients,Pharma_29,5,34.5
Medicine_1213,Unknown Composition,Pharma_22,10,446.53
Medicine_6708,Unknown Composition,Pharma_10,17,391.04
Otrivin Tablet,Otrivin + Excipients,Pharma_35,10,355.75
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_56,23,96.22
Paracetamol Syrup,Paracetamol + Excipients,Pharma_36,28,359.81
Diclofenac Tablet,Diclofenac + Excipients,Pharma_30,25,407.56
Medicine_8411,Unknown Composition,Pharma_92,19,477.38
Ofloxacin 650mg,Ofloxacin + Excipients,Pharma_62,4,231.52
Medicine_1562,Unknown Composition,Pharma_45,20,111.68
Medicine_7318,Unknown Composition,Pharma_59,23,495.17
Ambroxol Tablet,Ambroxol + Excipients,Pharma_81,19,475.12
Sumo 500mg,Sumo + Excipients,Pharma_7,7,394.37
Dolo 650 650mg,Dolo 650 + Excipients,Pharma_94,16,142.97
Benadryl Tablet,Benadryl + Excipients,Pharma_53,23,477.31
Cetirizine Syrup,Cetirizine + Excipients,Pharma_54,8,195.58
Ofloxacin Tablet,Ofloxacin + Excipients,Pharma_54,2,286.54
Cefixime 650mg,Cefixime + Excipients,Pharma_47,25,371.31
Medicine_1092,Unknown Composition,Pharma_25,22,334.92
Crocin Syrup,Crocin + Excipients,Pharma_15,17,295.64
Medicine_4859,Unknown Composition,Pharma_26,13,422.22
Medicine_9109,Unknown Composition,Pharma_27,16,190.63
Medicine_6227,Unknown Composition,Pharma_41,29,345.48
Cetirizine Syrup,Cetirizine + Excipients,Pharma_67,29,247.91
Medicine_1221,Unknown Composition,Pharma_95,9,228.74
Benadryl 650mg,Benadryl + Excipients,Pharma_25,14,101.76
Tramadol Tablet,Tramadol + Excipients,Pharma_26,9,371.43
Tramadol Syrup,Tramadol + Excipients,Pharma_85,26,125.95
Augmentin Tablet,Augmentin + Excipients,Pharma_57,17,71.0
Ofloxacin Syrup,Ofloxacin + Excipients,Pharma_7,25,276.95
Medicine_8383,Unknown Composition,Pharma_31,26,131.29
Volini Tablet,Volini + Excipients,Pharma_82,14,125.3
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_16,10,316.93
Medicine_8781,Unknown Composition,Pharma_84,14,238.01
Benadryl 500mg,Benadryl + Excipients,Pharma_74,19,356.63
Medicine_1142,Unknown Composition,Pharma_25,10,431.27
Ambroxol Tablet,Ambroxol + Excipients,Pharma_50,8,256.49
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_52,28,99.7
Medicine_2560,Unknown Composition,Pharma_47,13,165.04
Levocetirizine 650mg,Levocetirizine + Excipients,Pharma_61,6,334.8
Diclofenac Syrup,Diclofenac + Excipients,Pharma_89,2,232.94
Medicine_6880,Unknown Composition,Pharma_8,1,41.1
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_6,5,427.87
Medicine_3112,Unknown Composition,Pharma_66,9,157.66
Medicine_9648,Unknown Composition,Pharma_22,15,474.89
Medicine_6044,Unknown Composition,Pharma_1,24,195.99
Tramadol 500mg,Tramadol + Excipients,Pharma_80,14,437.98
Medicine_4522,Unknown Composition,Pharma_77,20,318.36
Medicine_5252,Unknown Composition,Pharma_53,9,66.24
Volini Tablet,Volini + Excipients,Pharma_80,11,189.11
